features,XGB_acc,XGB_pre,XGB_rec,XGB_f1,XGB_acc_cv,XGB_acc_cv_std
"[0, 1, 2, 3, 4, 5, 6, 9, 10, 11]",0.7416666666666667,0.7394619325931135,0.7416666666666667,0.7401226639963733,0.7121422054435336,0.03791445197242849
"[0, 1, 3, 4, 6, 7, 8, 9, 10, 11]",0.745,0.7425936615031877,0.745,0.7434640468710118,0.7144188296864671,0.03848988324846061
"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11]",0.7333333333333333,0.7310557326708536,0.7333333333333333,0.7317628467986937,0.7154695761336782,0.039626622902250906
"[0, 1, 2, 3, 4, 5, 6, 8, 10, 11]",0.7466666666666667,0.7455394123690708,0.7466666666666667,0.7457883901218514,0.7110331348814248,0.03977046149351006
"[0, 1, 2, 3, 5, 6, 8, 9, 10, 11]",0.7433333333333333,0.7419268602252896,0.7433333333333333,0.7424007049402093,0.7120644450047436,0.039538388221863265
"[0, 1, 3, 4, 5, 6, 8, 9, 10, 11]",0.7466666666666667,0.74440197819174,0.7466666666666667,0.7451816435382387,0.7133097477669427,0.039625923832497106
"[0, 1, 3, 4, 5, 6, 7, 9, 10, 11]",0.7433333333333333,0.7412562828692074,0.7433333333333333,0.7419193444136918,0.7145550164568951,0.039115594170560535
"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11]",0.7433333333333333,0.7401330731630757,0.7433333333333333,0.7410577610021416,0.7123562700127126,0.038046383456206666
"[0, 1, 2, 3, 4, 5, 6, 7, 9, 11]",0.735,0.7320583725725828,0.735,0.7330770203642367,0.7152360638831913,0.038900469388942545
"[0, 1, 2, 3, 4, 6, 7, 9, 10, 11]",0.7366666666666667,0.7349361644726925,0.7366666666666667,0.7355500242768624,0.7120449821802148,0.03828675835354213
